一揽子	yī lǎn zǐ
一撇	yī piě
一撇子	yī piě zǐ
一撒手儿	yī sā shǒu er
一撮	yī zuǒ
一文钱难倒英雄汉	yī wén qián nán dǎo yīng xióng hàn
一斗珠	yī dǒu zhū
一无所长	yī wú suǒ cháng
一无长物	yī wú cháng wù
一日三省	yī rì sān xǐng
一日为师	yī rì wéi shī
一日之长	yī rì zhī cháng
一时千载	yī shí qiān zǎi
一时半会儿	yī shí bàn huì er
一时得逞	yì shí dé chěng
一时疏忽	yì shí shū hū
一明了地	yī míng liǎo de
一易之地	yī yì zhī dì
一星儿	yī xīng er
一星半点儿	yī xīng bàn diǎn er
一暴十寒	yī pù shí hán
一曏	yī xiàng
一曲	yī qǔ
一曲阳关	yī qǔ yáng guān
一服	yī fù
一服药	yī fù yào
一望无涯	yí wàng wú yá
一朝	yī zhāo
一朝一夕	yī zhāo yī xī
一朝之忿	yī zhāo zhī fèn
一朝之患	yī zhāo zhī huàn
一朝千里	yī zhāo qiān lǐ
一朝夕	yī zhāo xī
一朝天子一朝臣	yī cháo tiān zǐ yī cháo chén
一朝怀胎	yī zhāo huái tāi
一朝权在手	yī zhāo quán zài shǒu
一朝马死黄金尽	yī zhāo mǎ sǐ huáng jīn jìn
一札眼	yī zhā yǎn
一条扁担两头挑	yī tiáo biǎn dàn liǎng tóu tiāo
一条线儿拴俩蚂蚱	yī tiáo xiàn er shuān liǎ mà zhà
一板一眼	yī bǎn yīn yǎn
一样	yí yàng
一榻括子	yī tà kuò zǐ
一模一样	yī mú yī yàng
一次性	yí cì xìng
一次性地	yí cì xìng de
一次方程	yí cì fāng chéng
一次污染物	yí cì wū rǎn wù
一步一步	yí bù yí bù
一步一步地	yí bù yí bù de
一步步	yí bù bù
一步步地	yí bù bù de
一死了之	yī sǐ liǎo zhī
一毂辘	yī gū lù
一毫不差	yī háo bù chā
一毫子	yī háo zǐ
一气一个死	yī qì yí gè sǐ
一气之下	yí qì zhī xià
一沐三捉发	yī mù sān zhuō fà
一沐三握发	yī mù sān wò fà
一沓纸	yì dá zhǐ
一沓钞票	yì dá chāo piào
一泡子	yī pāo zǐ
一派胡言	yí pài hú yán
一派胡言乱语	yí pài hú yán luàn yǔ
一流地	yì liú de
一混汤子	yī hùn tāng zǐ
一清宿弊	yì qīng sù bì
一湾子	yī wān zǐ
一溜儿	yī liù ér
一溜兀剌	yī liū wū là
一溜子	yī liū zǐ
一溜歪斜	yī liù wāi xié
一溜烟	yī liù yān
一溜烟跑掉	yí liù yān pǎo diào
一溜风	yī liù fēng
一点	yì diǎn
一点一点地	yì diǎn yì diǎn de
一点一点地完善	yì diǎn yì diǎn de wán shàn
一点儿	yī diǎn er
一点水一个泡	yì diǎn shuǐ yí gè pào
一点点	yì diǎn diǎn
一点点地	yì diǎn diǎn de
一点点地做好	yì diǎn diǎn de zuò hǎo
一点论	yì diǎn lùn
一点钟	yì diǎn zhōng
一片散沙	yī piàn sǎn shā
一片昏黑	yí piàn hūn hēi
一片混乱	yí piàn hùn luàn
一片空白	yí piàn kòng bái
一牛吼地	yī niú hǒu dì
一牛鸣地	yī niú míng dì
一物降一物	yī wù xiáng yī wù
一狐之掖	yī hú zhī yè
一现昙华	yī xiàn tán huā
一瓣子心	yī bàn zǐ xīn
一生吃着不尽	yī shēng chī zhuó bù jìn
一疙瘩	yī gē dā
一百二十行	yī bǎi èr shí háng
一百亿	yì bǎi yì
一盘散沙	yī pán sǎn shā
一目了然	yī mù liǎo rán
一目五行	yī mù wǔ háng
一目十行	yī mù shí háng
一目数行	yī mù shù háng
一直在苦苦地	yì zhí zài kǔ kǔ de
一直地	yì zhí de
一直安静地	yì zhí ān jìng de
一直线地	yì zhí xiàn de
一直走	yì zhí zǒu
一着	yī zhāo
一着不慎	yī zhāo bù shèn
一着不慎全盘皆输	yī zhāo bù shèn quán pán jiē shū
一着被蛇咬	yī zhāo bèi shé yǎo
一矢地	yī shǐ dì
一程子	yī chéng zǐ
一稳定地	yī wěn deng de
一窝子	yī wō zǐ
一窠子	yī kē zǐ
一竿子	yī gān zǐ
一笑了之	yī xiào liǎo zhī
一笔抹摋	yī bǐ mò sà
一等奖	yì děng jiǎng
一箍脑儿	yī gū nǎo er
一箭上垛	yī jiàn shàng duò
一箭之地	yī jiàn zhī dì
一篇文章	yì piān wén zhāng
一线之隔	yí xiàn zhī gé
一网尽扫	yī wǎng jìn sǎo
一网打尽	yī wǎng dǎ jìn
一肚子	yī dǔ zi
一股劲儿	yī gǔ jìn er
一股脑儿	yī gǔ nǎo er
一脑门子官司	yī nǎo mén zǐ guān sī
一致地	yí zhì de
一舍	yī shè
一般	yì bān
一般化	yì bān huà
一般地	yì bān de
一般地指	yì bān de zhǐ
一般地讲	yì bān de jiǎng
一般地说	yì bān de shuō
一般性地	yì bān xìng de
一般样	yì bān yàng
一般般	yì bān bān
一般规律	yì bān guī lǜ
